------------------------------------
ArithmeticLogicUnitSystem Simulation Started
[PASS] Test No: 1, Component: OutA, Actual Value: 0x7777, Expected Value: 0x7777
[PASS] Test No: 4, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000e, Expected Value: 0x000e
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 2, Component: PC, Actual Value: 0x0010, Expected Value: 0x0010
[PASS] Test No: 2, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 2, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 3, Component: PC, Actual Value: 0x0012, Expected Value: 0x0012
[PASS] Test No: 3, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 3, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 4, Component: PC, Actual Value: 0x0014, Expected Value: 0x0014
[PASS] Test No: 4, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 4, Component: SP, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 4, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 4, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 5, Component: PC, Actual Value: 0x0016, Expected Value: 0x0016
[PASS] Test No: 5, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 5, Component: SP, Actual Value: 0x007d, Expected Value: 0x007d
[PASS] Test No: 5, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 5, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 5, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 5, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[FAIL] Test No: 5, Component: Memory, Actual Value: 0x7f00, Expected Value: 0x007f
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000e, Expected Value: 0x000e
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 2, Component: PC, Actual Value: 0x0010, Expected Value: 0x0010
[PASS] Test No: 2, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 2, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 3, Component: PC, Actual Value: 0x0012, Expected Value: 0x0012
[PASS] Test No: 3, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 3, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 4, Component: PC, Actual Value: 0x0014, Expected Value: 0x0014
[PASS] Test No: 4, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 4, Component: SP, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 4, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 4, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 5, Component: PC, Actual Value: 0x0016, Expected Value: 0x0016
[PASS] Test No: 5, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 5, Component: SP, Actual Value: 0x007d, Expected Value: 0x007d
[PASS] Test No: 5, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 5, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 5, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 5, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Memory, Actual Value: 0x007f, Expected Value: 0x007f
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000e, Expected Value: 0x000e
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 2, Component: PC, Actual Value: 0x0010, Expected Value: 0x0010
[PASS] Test No: 2, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 2, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 3, Component: PC, Actual Value: 0x0012, Expected Value: 0x0012
[PASS] Test No: 3, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 3, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 4, Component: PC, Actual Value: 0x0014, Expected Value: 0x0014
[PASS] Test No: 4, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 4, Component: SP, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 4, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 4, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 4, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 4, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 5, Component: PC, Actual Value: 0x0016, Expected Value: 0x0016
[PASS] Test No: 5, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 5, Component: SP, Actual Value: 0x007d, Expected Value: 0x007d
[PASS] Test No: 5, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 5, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 5, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 5, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 5, Component: Memory, Actual Value: 0x007f, Expected Value: 0x007f
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[FAIL] Test No: 6, Component: PC, Actual Value: 0x0018, Expected Value: 0x0016
[PASS] Test No: 6, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 6, Component: SP, Actual Value: 0x007e, Expected Value: 0x007e
[PASS] Test No: 6, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 6, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 6, Component: Flag_N, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 6, Component: Flag_Z, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 6, Component: Memory, Actual Value: 0x007f, Expected Value: 0x007f
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 0, Component: PC, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 0, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 0, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 0, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 1, Component: PC, Actual Value: 0x000e, Expected Value: 0x000e
[PASS] Test No: 1, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 1, Component: R1, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 1, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 1, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 2, Component: PC, Actual Value: 0x0010, Expected Value: 0x0010
[PASS] Test No: 2, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 2, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 2, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 2, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_C, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Flag_Z, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 2, Component: Memory, Actual Value: 0x000c, Expected Value: 0x000c
CPUSystem Simulation Finished
------------------------------------



------------------------------------
CPUSystem Simulation Started
[PASS] Test No: 3, Component: PC, Actual Value: 0x0012, Expected Value: 0x0012
[PASS] Test No: 3, Component: AR, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: SP, Actual Value: 0xxxxx, Expected Value: 0xxxxx
[PASS] Test No: 3, Component: R1, Actual Value: 0x007f, Expected Value: 0x007f
[PASS] Test No: 3, Component: R2, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R3, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: R4, Actual Value: 0x0000, Expected Value: 0x0000
[PASS] Test No: 3, Component: Flag_O, Actual Value: 0x000X, Expected Value: 0x000X
[PASS] Test No: 3, Component: Flag_N, Actual Value: 0x000X, Expected Value: 0x000X
